date,pollution_today,dew,temp,press,wnd_spd,snow,rain,pollution_yesterday
2010-02-01,145.9583333,-8.5,-5.125,1024.75,24.86,0.708333333,0.0,10.04166667
2010-03-01,78.83333333,-10.125,-8.541666667,1022.791667,70.93791667,14.16666667,0.0,145.9583333
2010-04-01,31.33333333,-20.875,-11.5,1029.291667,111.1608333,0.0,0.0,78.83333333
2010-05-01,42.45833333,-24.58333333,-14.45833333,1033.625,56.92,0.0,0.0,31.33333333
2010-06-01,56.41666667,-23.70833333,-12.54166667,1033.75,18.51166667,0.0,0.0,42.45833333
2010-07-01,69.0,-21.25,-12.5,1034.083333,10.17,0.0,0.0,56.41666667
2010-08-01,176.2083333,-17.125,-11.70833333,1028.0,1.972916667,0.0,0.0,69.0
2010-09-01,88.5,-16.33333333,-9.125,1029.041667,13.29875,0.0,0.0,176.2083333
2010-10-01,57.25,-15.95833333,-8.75,1032.5,17.41583333,0.0,0.0,88.5
2010-11-01,20.0,-20.70833333,-8.708333333,1034.333333,41.68583333,0.0,0.0,57.25
2010-12-01,20.75,-23.54166667,-12.41666667,1030.708333,60.37833333,0.0,0.0,20.0
2010-01-13,40.20833333,-21.95833333,-10.0,1030.458333,169.7541667,0.0,0.0,20.75
2010-01-14,93.70833333,-17.625,-9.5,1025.208333,13.23875,0.0,0.0,40.20833333
2010-01-15,45.45833333,-17.16666667,-7.041666667,1036.833333,12.38166667,0.0,0.0,93.70833333
2010-01-16,177.625,-13.5,-8.416666667,1033.041667,2.677916667,0.0,0.0,45.45833333
2010-01-17,209.2083333,-12.08333333,-7.25,1028.833333,4.134583333,0.0,0.0,177.625
2010-01-18,260.2083333,-9.666666667,-4.916666667,1026.75,4.91625,0.0,0.0,209.2083333
2010-01-19,340.75,-3.791666667,0.291666667,1020.666667,4.788333333,0.0,0.0,260.2083333
2010-01-20,85.33333333,-11.04166667,-1.166666667,1030.208333,34.48125,0.0,0.0,340.75
2010-01-21,27.04166667,-21.16666667,-6.125,1036.375,59.07083333,0.0,0.0,85.33333333
2010-01-22,29.41666667,-18.79166667,-4.583333333,1034.375,93.06208333,0.0,0.0,27.04166667
2010-01-23,23.96568627,-17.70833333,-1.916666667,1028.0,43.89208333,0.0,0.0,29.41666667
2010-01-24,40.92647059,-17.25,-3.416666667,1021.416667,31.69583333,0.0,0.0,23.96568627
